date,sub_region_code,demand
2023-01-01 00:00:00+00:00,10,2419
2023-01-01 00:00:00+00:00,0,1666
2023-01-01 00:00:00+00:00,1,1114
2023-01-01 00:00:00+00:00,2,1762
2023-01-01 00:00:00+00:00,3,711
2023-01-01 00:00:00+00:00,9,5441
2023-01-01 00:00:00+00:00,5,1407
2023-01-01 00:00:00+00:00,6,1198
2023-01-01 00:00:00+00:00,7,314
2023-01-01 00:00:00+00:00,8,671
2023-01-01 00:00:00+00:00,4,877
2023-01-01 01:00:00+00:00,0,1632
2023-01-01 01:00:00+00:00,1,1071
2023-01-01 01:00:00+00:00,2,1700
2023-01-01 01:00:00+00:00,3,677
2023-01-01 01:00:00+00:00,4,842
2023-01-01 01:00:00+00:00,6,1150
2023-01-01 01:00:00+00:00,7,297
2023-01-01 01:00:00+00:00,8,654
2023-01-01 01:00:00+00:00,9,5340
2023-01-01 01:00:00+00:00,10,2322
2023-01-01 01:00:00+00:00,5,1354
2023-01-01 02:00:00+00:00,3,676
2023-01-01 02:00:00+00:00,0,1611
2023-01-01 02:00:00+00:00,1,1033
2023-01-01 02:00:00+00:00,2,1644
2023-01-01 02:00:00+00:00,4,818
2023-01-01 02:00:00+00:00,7,277
2023-01-01 02:00:00+00:00,6,1103
2023-01-01 02:00:00+00:00,8,635
2023-01-01 02:00:00+00:00,9,5212
2023-01-01 02:00:00+00:00,5,1318
2023-01-01 02:00:00+00:00,10,2215
2023-01-01 03:00:00+00:00,0,1578
2023-01-01 03:00:00+00:00,9,5068
2023-01-01 03:00:00+00:00,8,614
2023-01-01 03:00:00+00:00,7,265
2023-01-01 03:00:00+00:00,6,1058
2023-01-01 03:00:00+00:00,5,1272
2023-01-01 03:00:00+00:00,4,779
2023-01-01 03:00:00+00:00,3,658
2023-01-01 03:00:00+00:00,2,1606
2023-01-01 03:00:00+00:00,1,1000
2023-01-01 03:00:00+00:00,10,2117
2023-01-01 04:00:00+00:00,3,649
2023-01-01 04:00:00+00:00,10,2015
2023-01-01 04:00:00+00:00,9,4915
2023-01-01 04:00:00+00:00,8,592
2023-01-01 04:00:00+00:00,7,248
2023-01-01 04:00:00+00:00,6,1009
2023-01-01 04:00:00+00:00,5,1227
2023-01-01 04:00:00+00:00,4,741
2023-01-01 04:00:00+00:00,2,1540
2023-01-01 04:00:00+00:00,1,961
2023-01-01 04:00:00+00:00,0,1537
2023-01-01 05:00:00+00:00,2,1474
2023-01-01 05:00:00+00:00,1,934
2023-01-01 05:00:00+00:00,3,656
2023-01-01 05:00:00+00:00,4,702
2023-01-01 05:00:00+00:00,0,1477
2023-01-01 05:00:00+00:00,5,1173
2023-01-01 05:00:00+00:00,9,4757
2023-01-01 05:00:00+00:00,7,234
2023-01-01 05:00:00+00:00,8,565
2023-01-01 05:00:00+00:00,10,1914
2023-01-01 05:00:00+00:00,6,960
2023-01-01 06:00:00+00:00,0,1428
2023-01-01 06:00:00+00:00,4,667
2023-01-01 06:00:00+00:00,1,904
2023-01-01 06:00:00+00:00,2,1420
2023-01-01 06:00:00+00:00,3,655
2023-01-01 06:00:00+00:00,5,1128
2023-01-01 06:00:00+00:00,9,4579
2023-01-01 06:00:00+00:00,7,223
2023-01-01 06:00:00+00:00,8,533
2023-01-01 06:00:00+00:00,10,1798
2023-01-01 06:00:00+00:00,6,906
2023-01-01 07:00:00+00:00,0,1392
2023-01-01 07:00:00+00:00,4,656
2023-01-01 07:00:00+00:00,1,879
2023-01-01 07:00:00+00:00,2,1401
2023-01-01 07:00:00+00:00,3,640
2023-01-01 07:00:00+00:00,5,1090
2023-01-01 07:00:00+00:00,9,4429
2023-01-01 07:00:00+00:00,7,206
2023-01-01 07:00:00+00:00,8,517
2023-01-01 07:00:00+00:00,10,1699
2023-01-01 07:00:00+00:00,6,868
2023-01-01 08:00:00+00:00,0,1366
2023-01-01 08:00:00+00:00,4,642
2023-01-01 08:00:00+00:00,1,857
2023-01-01 08:00:00+00:00,2,1371
2023-01-01 08:00:00+00:00,3,633
2023-01-01 08:00:00+00:00,5,1056
